type,input_type,time_ms,key
keydown,other,1815.918,Key.cmd
keyup,other,1955.427,Key.tab
keydown,other,3312.593,Key.cmd
keyup,other,3698.446,w
click,left_click,4472.236,left
click,left_click,4477.215,left
click,left_click,9292.929,left
click,left_click,9307.838,left
click,left_click,12059.727,left
keydown,other,12156.012,Key.cmd
click,left_click,12156.202,left
keyup,other,12280.348,w
keydown,other,12468.681,Key.cmd
keydown,space,12532.403,Key.space
keyup,space,12600.417,Key.space
keyup,other,12642.013,Key.cmd
keydown,other,12779.757,p
keyup,other,12839.597,p
keydown,other,12839.995,r
keyup,other,12935.669,r
keydown,space,12951.570,Key.space
keyup,space,13067.643,Key.space
keydown,other,16451.015,Key.up
keyup,other,16522.695,Key.up
keydown,other,16812.627,Key.enter
keyup,other,16868.031,Key.enter
keydown,other,16971.240,Key.enter
keyup,other,17049.611,Key.enter
click,left_click,18592.446,left
click,left_click,18592.696,left
click,left_click,19841.364,left
click,left_click,19841.742,left
keydown,other,37101.092,Key.cmd
keyup,other,37225.100,t
keydown,other,37391.164,l
keyup,other,37456.783,l
keydown,other,37558.049,i
keyup,other,37577.756,i
keydown,other,37691.268,n
keyup,other,37759.508,n
keydown,other,37789.108,e
keyup,other,37883.912,e
keydown,other,38160.020,a
keyup,other,38233.666,a
keydown,other,38411.271,Key.enter
keyup,other,38463.866,Key.enter
click,left_click,43390.866,left
click,left_click,43410.120,left
scroll,scroll_up,45682.595,dy=1
scroll,scroll_up,45690.326,dy=1
scroll,scroll_up,45712.286,dy=1
scroll,scroll_up,45723.483,dy=1
scroll,scroll_up,45741.165,dy=1
scroll,scroll_down,46341.870,dy=-1
scroll,scroll_down,46363.764,dy=-1
scroll,scroll_down,46380.871,dy=-1
scroll,scroll_down,46390.213,dy=-2
scroll,scroll_down,46407.220,dy=-1
scroll,scroll_down,46416.736,dy=-1
scroll,scroll_down,46424.942,dy=-1
scroll,scroll_down,46433.386,dy=-1
scroll,scroll_down,46441.868,dy=-2
scroll,scroll_down,46450.091,dy=-2
scroll,scroll_down,46457.879,dy=-2
scroll,scroll_down,46466.159,dy=-2
scroll,scroll_down,46475.152,dy=-2
scroll,scroll_down,46483.445,dy=-2
scroll,scroll_down,46491.427,dy=-2
scroll,scroll_down,46500.118,dy=-2
scroll,scroll_down,46512.326,dy=-2
scroll,scroll_down,46516.143,dy=-2
scroll,scroll_down,46525.365,dy=-1
scroll,scroll_down,46532.782,dy=-1
scroll,scroll_down,46542.089,dy=-1
scroll,scroll_down,46550.773,dy=-1
scroll,scroll_down,46558.103,dy=-1
scroll,scroll_down,46567.158,dy=-1
scroll,scroll_down,46576.061,dy=-1
scroll,scroll_down,46583.442,dy=-1
scroll,scroll_down,46592.396,dy=-1
scroll,scroll_down,46600.486,dy=-1
scroll,scroll_down,47143.300,dy=-1
scroll,scroll_down,47156.994,dy=-1
